ContentsCode_kode,år_kode,bosted_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bosted_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,2,15,0,BEF005,2017,Bydel Grünerløkka,67-74 år,antall,1679
EliminatedValue,0,2,16,0,BEF005,2017,Bydel Grünerløkka,75-79 år,antall,487
EliminatedValue,0,2,17,0,BEF005,2017,Bydel Grünerløkka,80-84 år,antall,270
EliminatedValue,0,2,18,0,BEF005,2017,Bydel Grünerløkka,85-89 år,antall,223
EliminatedValue,0,2,19,0,BEF005,2017,Bydel Grünerløkka,90-94 år,antall,142
EliminatedValue,0,2,20,0,BEF005,2017,Bydel Grünerløkka,95+ år,antall,74
EliminatedValue,0,3,0,0,BEF005,2017,Bydel Sagene,Alder i alt,antall,42389
EliminatedValue,0,3,1,0,BEF005,2017,Bydel Sagene,0 år,antall,885
EliminatedValue,0,3,2,0,BEF005,2017,Bydel Sagene,1-2 år,antall,1337
EliminatedValue,0,3,3,0,BEF005,2017,Bydel Sagene,3-5 år,antall,1315
EliminatedValue,0,3,4,0,BEF005,2017,Bydel Sagene,6-9 år,antall,1104
EliminatedValue,0,3,5,0,BEF005,2017,Bydel Sagene,10-12 år,antall,581
EliminatedValue,0,3,6,0,BEF005,2017,Bydel Sagene,13-15 år,antall,467
EliminatedValue,0,3,7,0,BEF005,2017,Bydel Sagene,16-17 år,antall,312
EliminatedValue,0,3,8,0,BEF005,2017,Bydel Sagene,18-19 år,antall,477
EliminatedValue,0,3,9,0,BEF005,2017,Bydel Sagene,20-22 år,antall,1677
EliminatedValue,0,3,10,0,BEF005,2017,Bydel Sagene,23-24 år,antall,1767
EliminatedValue,0,3,11,0,BEF005,2017,Bydel Sagene,25-29 år,antall,7998
EliminatedValue,0,3,12,0,BEF005,2017,Bydel Sagene,30-39 år,antall,11620
EliminatedValue,0,3,13,0,BEF005,2017,Bydel Sagene,40-49 år,antall,5029
EliminatedValue,0,3,14,0,BEF005,2017,Bydel Sagene,50-66 år,antall,5111
EliminatedValue,0,3,15,0,BEF005,2017,Bydel Sagene,67-74 år,antall,1595
EliminatedValue,0,3,16,0,BEF005,2017,Bydel Sagene,75-79 år,antall,441
EliminatedValue,0,3,17,0,BEF005,2017,Bydel Sagene,80-84 år,antall,274
EliminatedValue,0,3,18,0,BEF005,2017,Bydel Sagene,85-89 år,antall,198
EliminatedValue,0,3,19,0,BEF005,2017,Bydel Sagene,90-94 år,antall,136
EliminatedValue,0,3,20,0,BEF005,2017,Bydel Sagene,95+ år,antall,65
EliminatedValue,0,4,0,0,BEF005,2017,Bydel St.Hanshaugen,Alder i alt,antall,38869
EliminatedValue,0,4,1,0,BEF005,2017,Bydel St.Hanshaugen,0 år,antall,557
EliminatedValue,0,4,2,0,BEF005,2017,Bydel St.Hanshaugen,1-2 år,antall,854
EliminatedValue,0,4,3,0,BEF005,2017,Bydel St.Hanshaugen,3-5 år,antall,899
EliminatedValue,0,4,4,0,BEF005,2017,Bydel St.Hanshaugen,6-9 år,antall,962
EliminatedValue,0,4,5,0,BEF005,2017,Bydel St.Hanshaugen,10-12 år,antall,520
EliminatedValue,0,4,6,0,BEF005,2017,Bydel St.Hanshaugen,13-15 år,antall,488
EliminatedValue,0,4,7,0,BEF005,2017,Bydel St.Hanshaugen,16-17 år,antall,332
EliminatedValue,0,4,8,0,BEF005,2017,Bydel St.Hanshaugen,18-19 år,antall,455
EliminatedValue,0,4,9,0,BEF005,2017,Bydel St.Hanshaugen,20-22 år,antall,2013
EliminatedValue,0,4,10,0,BEF005,2017,Bydel St.Hanshaugen,23-24 år,antall,2143
EliminatedValue,0,4,11,0,BEF005,2017,Bydel St.Hanshaugen,25-29 år,antall,7896
EliminatedValue,0,4,12,0,BEF005,2017,Bydel St.Hanshaugen,30-39 år,antall,9653
EliminatedValue,0,4,13,0,BEF005,2017,Bydel St.Hanshaugen,40-49 år,antall,4696
EliminatedValue,0,4,14,0,BEF005,2017,Bydel St.Hanshaugen,50-66 år,antall,4749
EliminatedValue,0,4,15,0,BEF005,2017,Bydel St.Hanshaugen,67-74 år,antall,1469
EliminatedValue,0,4,16,0,BEF005,2017,Bydel St.Hanshaugen,75-79 år,antall,492
EliminatedValue,0,4,17,0,BEF005,2017,Bydel St.Hanshaugen,80-84 år,antall,282
EliminatedValue,0,4,18,0,BEF005,2017,Bydel St.Hanshaugen,85-89 år,antall,196
EliminatedValue,0,4,19,0,BEF005,2017,Bydel St.Hanshaugen,90-94 år,antall,144
EliminatedValue,0,4,20,0,BEF005,2017,Bydel St.Hanshaugen,95+ år,antall,69
EliminatedValue,0,5,0,0,BEF005,2017,Bydel Frogner,Alder i alt,antall,57585
EliminatedValue,0,5,1,0,BEF005,2017,Bydel Frogner,0 år,antall,713
EliminatedValue,0,5,2,0,BEF005,2017,Bydel Frogner,1-2 år,antall,1105
EliminatedValue,0,5,3,0,BEF005,2017,Bydel Frogner,3-5 år,antall,1210
EliminatedValue,0,5,4,0,BEF005,2017,Bydel Frogner,6-9 år,antall,1351
EliminatedValue,0,5,5,0,BEF005,2017,Bydel Frogner,10-12 år,antall,889
EliminatedValue,0,5,6,0,BEF005,2017,Bydel Frogner,13-15 år,antall,803
EliminatedValue,0,5,7,0,BEF005,2017,Bydel Frogner,16-17 år,antall,603
EliminatedValue,0,5,8,0,BEF005,2017,Bydel Frogner,18-19 år,antall,804
EliminatedValue,0,5,9,0,BEF005,2017,Bydel Frogner,20-22 år,antall,2632
EliminatedValue,0,5,10,0,BEF005,2017,Bydel Frogner,23-24 år,antall,2612
EliminatedValue,0,5,11,0,BEF005,2017,Bydel Frogner,25-29 år,antall,9323
EliminatedValue,0,5,12,0,BEF005,2017,Bydel Frogner,30-39 år,antall,11544
EliminatedValue,0,5,13,0,BEF005,2017,Bydel Frogner,40-49 år,antall,6938
EliminatedValue,0,5,14,0,BEF005,2017,Bydel Frogner,50-66 år,antall,9851
EliminatedValue,0,5,15,0,BEF005,2017,Bydel Frogner,67-74 år,antall,3879
EliminatedValue,0,5,16,0,BEF005,2017,Bydel Frogner,75-79 år,antall,1396
EliminatedValue,0,5,17,0,BEF005,2017,Bydel Frogner,80-84 år,antall,835
EliminatedValue,0,5,18,0,BEF005,2017,Bydel Frogner,85-89 år,antall,631
EliminatedValue,0,5,19,0,BEF005,2017,Bydel Frogner,90-94 år,antall,328
EliminatedValue,0,5,20,0,BEF005,2017,Bydel Frogner,95+ år,antall,138
EliminatedValue,0,6,0,0,BEF005,2017,Bydel Ullern,Alder i alt,antall,33175
EliminatedValue,0,6,1,0,BEF005,2017,Bydel Ullern,0 år,antall,419
EliminatedValue,0,6,2,0,BEF005,2017,Bydel Ullern,1-2 år,antall,883
EliminatedValue,0,6,3,0,BEF005,2017,Bydel Ullern,3-5 år,antall,1241
EliminatedValue,0,6,4,0,BEF005,2017,Bydel Ullern,6-9 år,antall,1706
