brukergruppe,aar,manedsnr,ant_husstander_utbetaling,ant_husstander_termin,ant_soknader,ant_avslag,utbetalt_belop,gjsnitt_bostotte,gjsnitt_inntekt_mnd,gjsnitt_boutgift_mnd,ant_over_tak,geo
Uføre forøvrig,2024,1,19068,19050,22280,3230,32990176,1730.13,23467.58,10019.4,16278,Norge
Uføre forøvrig,2024,2,19050,19462,22312,2850,32724493,1717.82,23467.69,10071.06,16375,Norge
Uføre forøvrig,2024,3,19462,19525,22377,2852,33510911,1721.86,23571.92,10144.55,16791,Norge
Uføre forøvrig,2024,4,19525,9407,21973,12566,33696474,1725.81,23566.36,10177.29,16891,Norge
Uføre forøvrig,2024,5,9407,9396,21675,12279,19614319,2085.08,20852.34,10389.91,7887,Norge
Uføre forøvrig,2024,6,9396,9271,22132,12861,19755654,2102.56,20874.44,10469.86,7927,Norge
Uføre forøvrig,2024,7,9271,10940,22294,11354,20277999,2187.25,21738.15,10602.57,7517,Norge
Uføre forøvrig,2024,8,10940,10843,13643,2800,23387455,2137.79,23111.25,10887.89,8501,Norge
Uføre forøvrig,2024,9,10843,10706,14654,3948,23288248,2147.77,23036.44,10912.13,8462,Norge
Uføre forøvrig,2024,10,10706,11118,15738,4620,23049756,2152.98,22984.23,10945.66,8393,Norge
Uføre forøvrig,2024,11,11118,11268,14765,3497,24405613,2195.14,23105.26,11046.9,8749,Norge
Uføre forøvrig,2024,12,11268,11047,14486,3439,24797756,2200.72,23150.57,11124.5,8927,Norge
Uføre forøvrig,2025,1,11047,11399,14573,3174,24385677,2207.45,23065.47,11152.74,8788,Norge
Uføre forøvrig,2025,2,11399,11409,14369,2960,25100836,2202.02,23209.7,11243.95,9132,Norge
Uføre forøvrig,2025,3,11409,11353,14303,2950,25160706,2205.34,23225.75,11293.95,9187,Norge
Uføre forøvrig,2025,4,11353,11318,14087,2769,25057169,2207.1,23257.02,11344.6,9167,Norge
Uføre forøvrig,2025,5,11318,11103,13996,2893,25156348,2222.68,23280.28,11404.3,9190,Norge
Uføre forøvrig,2025,6,11103,9432,13905,4473,24865902,2239.57,23253.69,11447.63,9070,Norge
Uføre forøvrig,2025,7,9432,9488,13528,4040,23385669,2479.4,23770.48,11495.48,7381,Norge
Uføre forøvrig,2025,8,9488,9541,13350,3809,23233982,2448.78,23956.58,11559.8,7462,Norge
Uføre forøvrig,2025,9,9541,9552,12121,2569,23519044,2465.05,23946.12,11618.0,7540,Norge
