ContentsCode_kode,år_kode,bosted_kode,kjønn_kode,aldersgruppe_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bosted_navn,kjønn_navn,aldersgruppe_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,30102,2,2,0,ok-sos006,2004,Grünerløkka,Menn,30-39,antall personer,114
EliminatedValue,0,30102,2,3,0,ok-sos006,2004,Grünerløkka,Menn,40-49,antall personer,275
EliminatedValue,0,30102,2,4,0,ok-sos006,2004,Grünerløkka,Menn,50-59,antall personer,381
EliminatedValue,0,30102,2,5,0,ok-sos006,2004,Grünerløkka,Menn,60-67,antall personer,324
EliminatedValue,0,30103,0,0,0,ok-sos006,2004,Sagene,I alt,I alt,antall personer,1939
EliminatedValue,0,30103,0,1,0,ok-sos006,2004,Sagene,I alt,18-29,antall personer,27
EliminatedValue,0,30103,0,2,0,ok-sos006,2004,Sagene,I alt,30-39,antall personer,166
EliminatedValue,0,30103,0,3,0,ok-sos006,2004,Sagene,I alt,40-49,antall personer,441
EliminatedValue,0,30103,0,4,0,ok-sos006,2004,Sagene,I alt,50-59,antall personer,753
EliminatedValue,0,30103,0,5,0,ok-sos006,2004,Sagene,I alt,60-67,antall personer,552
EliminatedValue,0,30103,1,0,0,ok-sos006,2004,Sagene,Kvinner,I alt,antall personer,904
EliminatedValue,0,30103,1,1,0,ok-sos006,2004,Sagene,Kvinner,18-29,antall personer,15
EliminatedValue,0,30103,1,2,0,ok-sos006,2004,Sagene,Kvinner,30-39,antall personer,76
EliminatedValue,0,30103,1,3,0,ok-sos006,2004,Sagene,Kvinner,40-49,antall personer,198
EliminatedValue,0,30103,1,4,0,ok-sos006,2004,Sagene,Kvinner,50-59,antall personer,358
EliminatedValue,0,30103,1,5,0,ok-sos006,2004,Sagene,Kvinner,60-67,antall personer,257
EliminatedValue,0,30103,2,0,0,ok-sos006,2004,Sagene,Menn,I alt,antall personer,1035
EliminatedValue,0,30103,2,1,0,ok-sos006,2004,Sagene,Menn,18-29,antall personer,12
EliminatedValue,0,30103,2,2,0,ok-sos006,2004,Sagene,Menn,30-39,antall personer,90
EliminatedValue,0,30103,2,3,0,ok-sos006,2004,Sagene,Menn,40-49,antall personer,243
EliminatedValue,0,30103,2,4,0,ok-sos006,2004,Sagene,Menn,50-59,antall personer,395
EliminatedValue,0,30103,2,5,0,ok-sos006,2004,Sagene,Menn,60-67,antall personer,295
EliminatedValue,0,30104,0,0,0,ok-sos006,2004,St. Hanshaugen,I alt,I alt,antall personer,994
EliminatedValue,0,30104,0,1,0,ok-sos006,2004,St. Hanshaugen,I alt,18-29,antall personer,24
EliminatedValue,0,30104,0,2,0,ok-sos006,2004,St. Hanshaugen,I alt,30-39,antall personer,88
EliminatedValue,0,30104,0,3,0,ok-sos006,2004,St. Hanshaugen,I alt,40-49,antall personer,198
EliminatedValue,0,30104,0,4,0,ok-sos006,2004,St. Hanshaugen,I alt,50-59,antall personer,383
EliminatedValue,0,30104,0,5,0,ok-sos006,2004,St. Hanshaugen,I alt,60-67,antall personer,301
EliminatedValue,0,30104,1,0,0,ok-sos006,2004,St. Hanshaugen,Kvinner,I alt,antall personer,514
EliminatedValue,0,30104,1,1,0,ok-sos006,2004,St. Hanshaugen,Kvinner,18-29,antall personer,15
EliminatedValue,0,30104,1,2,0,ok-sos006,2004,St. Hanshaugen,Kvinner,30-39,antall personer,42
EliminatedValue,0,30104,1,3,0,ok-sos006,2004,St. Hanshaugen,Kvinner,40-49,antall personer,96
EliminatedValue,0,30104,1,4,0,ok-sos006,2004,St. Hanshaugen,Kvinner,50-59,antall personer,212
EliminatedValue,0,30104,1,5,0,ok-sos006,2004,St. Hanshaugen,Kvinner,60-67,antall personer,149
EliminatedValue,0,30104,2,0,0,ok-sos006,2004,St. Hanshaugen,Menn,I alt,antall personer,480
EliminatedValue,0,30104,2,1,0,ok-sos006,2004,St. Hanshaugen,Menn,18-29,antall personer,9
EliminatedValue,0,30104,2,2,0,ok-sos006,2004,St. Hanshaugen,Menn,30-39,antall personer,46
EliminatedValue,0,30104,2,3,0,ok-sos006,2004,St. Hanshaugen,Menn,40-49,antall personer,102
EliminatedValue,0,30104,2,4,0,ok-sos006,2004,St. Hanshaugen,Menn,50-59,antall personer,171
EliminatedValue,0,30104,2,5,0,ok-sos006,2004,St. Hanshaugen,Menn,60-67,antall personer,152
EliminatedValue,0,30105,0,0,0,ok-sos006,2004,Frogner,I alt,I alt,antall personer,1727
