aar,husstander_unike_aaret,utbetalt_bostotte_mill,utbetalt_stromstotte_mill,geografi,kilde,verifisering
2021,116304,2714,580,nasjonal,Husbankens årsrapport 2025 tabell 3.1,bekreftet
2022,138081,3262,1414,nasjonal,Husbankens årsrapport 2025 tabell 3.1,bekreftet
2023,152718,3610,1163,nasjonal,Husbankens årsrapport 2025 tabell 3.1,bekreftet
2024,155817,3781,569,nasjonal,Husbankens årsrapport 2025 tabell 3.1,bekreftet
2025,134097,4100,0,nasjonal,Husbankens årsrapport 2025 tabell 3.1,bekreftet
