Soner2_kode,AntRom_kode,ContentsCode_kode,Tid_kode,Soner2_navn,AntRom_navn,ContentsCode_navn,Tid_navn,verdi
00,3,Husleie,2012,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2012,7370
00,3,Husleie,2013,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2013,8080
00,3,Husleie,2014,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2014,8390
00,3,Husleie,2015,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2015,8860
00,3,Husleie,2016,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2016,9610
00,3,Husleie,2017,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2017,9880
00,3,Husleie,2018,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2018,10220
00,3,Husleie,2019,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2019,10580
00,3,Husleie,2020,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2020,11030
00,3,Husleie,2021,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2021,11140
00,3,Husleie,2022,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2022,11560
00,3,Husleie,2023,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2023,12320
00,3,Husleie,2024,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2024,12980
00,3,Husleie,2025,Hele landet,3 rom,Gjennomsnittlig månedlig leie,2025,13910
00,3,Husleiear,2012,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2012,1310
00,3,Husleiear,2013,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2013,1440
00,3,Husleiear,2014,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2014,1490
00,3,Husleiear,2015,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2015,1570
00,3,Husleiear,2016,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2016,1750
00,3,Husleiear,2017,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2017,1820
00,3,Husleiear,2018,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2018,1900
00,3,Husleiear,2019,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2019,1960
00,3,Husleiear,2020,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2020,2030
00,3,Husleiear,2021,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2021,2060
00,3,Husleiear,2022,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2022,2160
00,3,Husleiear,2023,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2023,2270
00,3,Husleiear,2024,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2024,2450
00,3,Husleiear,2025,Hele landet,3 rom,Gjennomsnittlig årlig leie per kvm,2025,2590
00,4,Husleie,2012,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2012,8130
00,4,Husleie,2013,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2013,8760
00,4,Husleie,2014,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2014,8940
00,4,Husleie,2015,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2015,9300
00,4,Husleie,2016,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2016,10480
00,4,Husleie,2017,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2017,10800
00,4,Husleie,2018,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2018,11370
00,4,Husleie,2019,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2019,11710
00,4,Husleie,2020,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2020,12330
00,4,Husleie,2021,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2021,12470
00,4,Husleie,2022,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2022,12990
00,4,Husleie,2023,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2023,13730
00,4,Husleie,2024,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2024,14310
00,4,Husleie,2025,Hele landet,4 rom,Gjennomsnittlig månedlig leie,2025,15640
00,4,Husleiear,2012,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2012,1140
00,4,Husleiear,2013,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2013,1220
00,4,Husleiear,2014,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2014,1230
00,4,Husleiear,2015,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2015,1320
00,4,Husleiear,2016,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2016,1530
00,4,Husleiear,2017,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2017,1610
00,4,Husleiear,2018,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2018,1710
00,4,Husleiear,2019,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2019,1740
00,4,Husleiear,2020,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2020,1730
00,4,Husleiear,2021,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2021,1760
00,4,Husleiear,2022,Hele landet,4 rom,Gjennomsnittlig årlig leie per kvm,2022,1830
