ContentsCode_kode,år_kode,bydel_kode,sosialhjelpsmottakere og berørte_kode,statistikkvariabel_kode,ContentsCode_navn,år_navn,bydel_navn,sosialhjelpsmottakere og berørte_navn,statistikkvariabel_navn,verdi
EliminatedValue,0,6,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Frogner,Sosialhjelpsmottakere i alt,Antall,1323
EliminatedValue,0,6,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Frogner,Berørte av sosialhjelp,Antall,1780
EliminatedValue,0,6,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Frogner,Berørte ektefeller/samboere,Antall,149
EliminatedValue,0,6,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Frogner,Berørte barn i alt,Antall,308
EliminatedValue,0,6,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Frogner,Barn av par,Antall,132
EliminatedValue,0,6,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Frogner,Barn av enslig forsørger,Antall,176
EliminatedValue,0,7,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Ullern,Sosialhjelpsmottakere i alt,Antall,371
EliminatedValue,0,7,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Ullern,Berørte av sosialhjelp,Antall,554
EliminatedValue,0,7,2,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Ullern,Berørte ektefeller/samboere,Antall,72
EliminatedValue,0,7,3,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Ullern,Berørte barn i alt,Antall,111
EliminatedValue,0,7,4,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Ullern,Barn av par,Antall,60
EliminatedValue,0,7,5,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Ullern,Barn av enslig forsørger,Antall,51
EliminatedValue,0,8,0,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Vestre Aker,Sosialhjelpsmottakere i alt,Antall,611
EliminatedValue,0,8,1,0,Sosialhjelpsmottakere og berørte etter bydel (B),2005,Bydel Vestre Aker,Berørte av sosialhjelp,Antall,949
