Region_kode,ContentsCode_kode,Tid_kode,Region_navn,ContentsCode_navn,Tid_navn,verdi
0301,Folketallet1,2011K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2011K1,599230
0301,Folketallet1,2011K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2011K2,605005
0301,Folketallet1,2011K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2011K3,607292
0301,Folketallet1,2011K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2011K4,611491
0301,Folketallet1,2012K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2012K1,613285
0301,Folketallet1,2012K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2012K2,617242
0301,Folketallet1,2012K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2012K3,618378
0301,Folketallet1,2012K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2012K4,621332
0301,Folketallet1,2013K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2013K1,623966
0301,Folketallet1,2013K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2013K2,626953
0301,Folketallet1,2013K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2013K3,629313
0301,Folketallet1,2013K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2013K4,632990
0301,Folketallet1,2014K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2014K1,634463
0301,Folketallet1,2014K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2014K2,638529
0301,Folketallet1,2014K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2014K3,640313
0301,Folketallet1,2014K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2014K4,645701
0301,Folketallet1,2015K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2015K1,647676
0301,Folketallet1,2015K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2015K2,650733
0301,Folketallet1,2015K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2015K3,652044
0301,Folketallet1,2015K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2015K4,656614
0301,Folketallet1,2016K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2016K1,658390
0301,Folketallet1,2016K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2016K2,660987
0301,Folketallet1,2016K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2016K3,662587
0301,Folketallet1,2016K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2016K4,666691
0301,Folketallet1,2017K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2017K1,666759
0301,Folketallet1,2017K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2017K2,668819
0301,Folketallet1,2017K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2017K3,669060
0301,Folketallet1,2017K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2017K4,672062
0301,Folketallet1,2018K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2018K1,673469
0301,Folketallet1,2018K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2018K2,674736
0301,Folketallet1,2018K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2018K3,676462
0301,Folketallet1,2018K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2018K4,679886
0301,Folketallet1,2019K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2019K1,681071
0301,Folketallet1,2019K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2019K2,683947
0301,Folketallet1,2019K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2019K3,685811
0301,Folketallet1,2019K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2019K4,690335
0301,Folketallet1,2020K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2020K1,693494
0301,Folketallet1,2020K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2020K2,694657
0301,Folketallet1,2020K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2020K3,694086
0301,Folketallet1,2020K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2020K4,697549
0301,Folketallet1,2021K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2021K1,697010
0301,Folketallet1,2021K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2021K2,697028
0301,Folketallet1,2021K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2021K3,696088
0301,Folketallet1,2021K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2021K4,698660
0301,Folketallet1,2022K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2022K1,699827
0301,Folketallet1,2022K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2022K2,702543
0301,Folketallet1,2022K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2022K3,703979
0301,Folketallet1,2022K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2022K4,707531
0301,Folketallet1,2023K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2023K1,709037
0301,Folketallet1,2023K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2023K2,711307
0301,Folketallet1,2023K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2023K3,712092
0301,Folketallet1,2023K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2023K4,716272
0301,Folketallet1,2024K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2024K1,717710
0301,Folketallet1,2024K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2024K2,719852
0301,Folketallet1,2024K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2024K3,720568
0301,Folketallet1,2024K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2024K4,723196
0301,Folketallet1,2025K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2025K1,724290
0301,Folketallet1,2025K2,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2025K2,725243
0301,Folketallet1,2025K3,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2025K3,725180
0301,Folketallet1,2025K4,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2025K4,727797
0301,Folketallet1,2026K1,Oslo - Oslove,Befolkning ved inngangen av kvartalet,2026K1,728714
0301,Folketallet11,1997K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,1997K4,500037
0301,Folketallet11,1998K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,1998K1,501234
0301,Folketallet11,1998K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,1998K2,501994
0301,Folketallet11,1998K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,1998K3,502267
0301,Folketallet11,1998K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,1998K4,502392
0301,Folketallet11,1999K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,1999K1,504132
0301,Folketallet11,1999K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,1999K2,505142
0301,Folketallet11,1999K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,1999K3,506341
0301,Folketallet11,1999K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,1999K4,506942
0301,Folketallet11,2000K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2000K1,508820
0301,Folketallet11,2000K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2000K2,508826
0301,Folketallet11,2000K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2000K3,509029
0301,Folketallet11,2000K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2000K4,508686
0301,Folketallet11,2001K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2001K1,510873
0301,Folketallet11,2001K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2001K2,511790
0301,Folketallet11,2001K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2001K3,512932
0301,Folketallet11,2001K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2001K4,512718
0301,Folketallet11,2002K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2002K1,514541
0301,Folketallet11,2002K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2002K2,515425
0301,Folketallet11,2002K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2002K3,516467
0301,Folketallet11,2002K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2002K4,517401
0301,Folketallet11,2003K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2003K1,518902
0301,Folketallet11,2003K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2003K2,519553
0301,Folketallet11,2003K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2003K3,521193
0301,Folketallet11,2003K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2003K4,521892
0301,Folketallet11,2004K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2004K1,523488
0301,Folketallet11,2004K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2004K2,524888
0301,Folketallet11,2004K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2004K3,527378
0301,Folketallet11,2004K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2004K4,529407
0301,Folketallet11,2005K1,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2005K1,531410
0301,Folketallet11,2005K2,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2005K2,533050
0301,Folketallet11,2005K3,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2005K3,536209
0301,Folketallet11,2005K4,Oslo - Oslove,Befolkning ved utgangen av kvartalet,2005K4,538411
