brukergruppe,aar,manedsnr,ant_husstander_utbetaling,ant_husstander_termin,ant_soknader,ant_avslag,utbetalt_belop,gjsnitt_bostotte,gjsnitt_inntekt_mnd,gjsnitt_boutgift_mnd,ant_over_tak,geo
Husstander uten trygdeytelser,2022,4,6170,6126,7579,1453,29796388,4829.24,6502.41,11558.09,4994,Oslo
Husstander uten trygdeytelser,2022,5,6126,6392,7825,1433,29467121,4810.17,6659.12,11610.94,4997,Oslo
Husstander uten trygdeytelser,2022,6,6392,5133,6375,1242,30820982,4821.81,6518.62,11624.91,5217,Oslo
Husstander uten trygdeytelser,2022,7,5133,6483,7838,1355,25360910,4940.76,5464.61,11568.04,4178,Oslo
Husstander uten trygdeytelser,2022,8,6483,6479,7859,1380,31431478,4848.29,6990.49,11708.73,5273,Oslo
Husstander uten trygdeytelser,2022,9,6479,6340,7932,1592,31764995,4902.76,6685.36,11783.59,5307,Oslo
Husstander uten trygdeytelser,2022,10,6340,6332,7778,1446,30784307,4855.57,7092.18,11808.23,5207,Oslo
Husstander uten trygdeytelser,2022,11,6332,6287,7843,1556,30425300,4805.01,7478.09,11848.32,5237,Oslo
Husstander uten trygdeytelser,2022,12,6287,6142,7930,1788,30068524,4782.65,7678.56,11921.76,5252,Oslo
Husstander uten trygdeytelser,2023,1,6142,6390,7879,1489,29351688,4778.85,7665.62,11953.42,5138,Oslo
Husstander uten trygdeytelser,2023,2,6390,6425,7846,1421,30774391,4816.02,7579.66,12049.47,5386,Oslo
Husstander uten trygdeytelser,2023,3,6425,6474,7777,1303,30860319,4803.16,7861.89,12131.02,5420,Oslo
Husstander uten trygdeytelser,2023,4,6474,6452,7864,1412,31109308,4805.27,7932.0,12190.97,5489,Oslo
Husstander uten trygdeytelser,2023,5,6452,6296,7753,1457,31029201,4809.24,7909.62,12250.51,5489,Oslo
Husstander uten trygdeytelser,2023,6,6296,5201,6743,1542,30244554,4803.77,7936.05,12301.77,5385,Oslo
Husstander uten trygdeytelser,2023,7,5201,6366,7730,1364,25966169,4992.53,7094.34,12337.98,4340,Oslo
Husstander uten trygdeytelser,2023,8,6366,6421,7544,1123,31257495,4910.07,8027.8,12458.04,5318,Oslo
Husstander uten trygdeytelser,2023,9,6421,6281,7626,1345,31752655,4945.13,7713.16,12512.38,5370,Oslo
Husstander uten trygdeytelser,2023,10,6281,6258,7585,1327,30934195,4925.04,8065.22,12622.29,5276,Oslo
Husstander uten trygdeytelser,2023,11,6258,6288,7628,1340,30675858,4901.86,8389.55,12694.44,5266,Oslo
Husstander uten trygdeytelser,2023,12,6288,6269,7622,1353,30770172,4893.48,8404.18,12735.11,5303,Oslo
Husstander uten trygdeytelser,2024,1,6269,6539,7829,1290,30672742,4892.76,8285.02,12796.52,5311,Oslo
Husstander uten trygdeytelser,2024,2,6539,6581,7723,1142,32129631,4913.54,8121.44,12856.08,5540,Oslo
Husstander uten trygdeytelser,2024,3,6581,6679,7803,1124,32326153,4912.04,8133.59,12871.48,5549,Oslo
Husstander uten trygdeytelser,2024,4,6679,6151,7710,1559,32719395,4898.85,8175.72,12968.13,5637,Oslo
Husstander uten trygdeytelser,2024,5,6151,5971,7655,1684,31045500,5047.23,5854.11,12900.78,5168,Oslo
Husstander uten trygdeytelser,2024,6,5971,5618,7657,2039,30393654,5090.21,5452.78,12971.18,5031,Oslo
Husstander uten trygdeytelser,2024,7,5618,6296,7909,1613,29728155,5291.59,5696.3,13053.92,4647,Oslo
Husstander uten trygdeytelser,2024,8,6296,6254,7450,1196,34115476,5418.6,6507.76,13206.69,5042,Oslo
Husstander uten trygdeytelser,2024,9,6254,6232,7667,1435,34120170,5455.74,6303.44,13261.61,5054,Oslo
Husstander uten trygdeytelser,2024,10,6232,6141,7676,1535,34085962,5469.51,6684.61,13692.99,5200,Oslo
Husstander uten trygdeytelser,2024,11,6141,6095,7320,1225,33340007,5429.08,6930.23,13813.86,5144,Oslo
Husstander uten trygdeytelser,2024,12,6095,5951,7097,1146,33212495,5449.14,6805.9,13888.89,5138,Oslo
Husstander uten trygdeytelser,2025,1,5951,6114,7211,1097,32446195,5452.23,6735.73,13928.81,5013,Oslo
Husstander uten trygdeytelser,2025,2,6114,6109,7160,1051,33421034,5466.31,6498.49,13949.22,5174,Oslo
Husstander uten trygdeytelser,2025,3,6109,6201,7184,983,33304576,5451.72,6669.64,14053.89,5184,Oslo
Husstander uten trygdeytelser,2025,4,6201,6135,7220,1085,33775902,5446.85,6822.11,14141.92,5286,Oslo
Husstander uten trygdeytelser,2025,5,6135,5935,7166,1231,33293635,5426.84,6842.85,14191.72,5251,Oslo
Husstander uten trygdeytelser,2025,6,5935,5573,7150,1577,32244072,5432.87,6468.94,14150.85,5061,Oslo
Husstander uten trygdeytelser,2025,7,5573,6039,7239,1200,31805122,5707.0,6222.22,14150.48,4570,Oslo
Husstander uten trygdeytelser,2025,8,6039,6131,7218,1087,34573198,5724.99,6436.89,14299.5,5008,Oslo
Husstander uten trygdeytelser,2025,9,6131,5981,7249,1268,35384703,5771.44,6196.46,14413.59,5117,Oslo
Husstander uten trygdeytelser,2025,10,5981,5902,7178,1276,34166568,5712.52,6605.07,14471.59,5022,Oslo
Husstander uten trygdeytelser,2025,11,5902,5903,7167,1264,33838584,5733.41,6600.36,14528.43,4966,Oslo
Husstander uten trygdeytelser,2025,12,5903,5875,7056,1181,33657910,5701.83,6712.39,14558.55,4963,Oslo
Husstander uten trygdeytelser,2026,1,5875,6028,7134,1106,33515173,5704.71,6804.93,14646.94,4959,Oslo
Husstander uten trygdeytelser,2026,2,6028,6085,7125,1040,34571785,5735.2,6512.5,14726.67,5108,Oslo
Husstander uten trygdeytelser,2026,3,6085,6140,7153,1013,34908921,5736.88,6615.09,14802.03,5161,Oslo
